page,name,type,typeDetails,required,text,header,audio,branchOnValue,branchToPage
DaStrongMjDaStrongMj,DaStrongMjDaStrongMj,Yes | No,,warning,"<p class=""head1""><b>In the PAST 12 MONTHS…</b></p><p class=""head1"">Was there a time when you felt such a strong desire or urge to use MARIJUANA that you could not keep from using it?</p>",,,,
DaWantedMjDaWantedMj,DaWantedMjDaWantedMj,Yes | No,,warning,"<p class=""head1""><b>In the PAST 12 MONTHS…</b></p><p class=""head1"">Was there at time that you wanted MARIJUANA so badly that you could not think of anything else?</p>",,,,
DaStrongDesire,DaStrongDesire,Yes | No,,warning,"<p class=""head1""><b>In the PAST 12 MONTHS…</b></p><p class=""head1"">Was there a time when you felt such a strong desire or urge to use OTHER drugs (not including marijuana) that you could not keep from using them? </p>",,,,
DaWanted ,DaWanted ,Yes | No,,warning,"<p class=""head1""><b>In the PAST 12 MONTHS…</b></p><p class=""head1"">Was there a time that you wanted OTHER drugs ( not including marijuana) so badly that you could not think of anything else?</p>",,,,
DaMedProb,DaMedProb,Yes | No,,warning,"<p class=""head1""><b>In the PAST 12 MONTHS…</b></p><p class=""head1"">Have you had medical problems as a result of your drug use (e.g., memory loss, hepatitis, convulsions, bleeding, etc.)?</p>",,,,
DaHelp,DaHelp,Yes | No,,warning,"<p class=""head1""><b>In the PAST 12 MONTHS…</b></p><p class=""head1"">Have you ever gone to anyone for help for a drug problem?</p>",,,,
DaHospital ,DaHospital ,Yes | No,,warning,"<p class=""head1""><b>In the PAST 12 MONTHS…</b></p><p class=""head1"">Have you ever been in the hospital for medical problems related to your drug use?</p>",,,,
DaTreatment ,DaTreatment ,Yes | No,,warning,"<p class=""head1""><b>In the PAST 12 MONTHS…</b></p><p class=""head1"">Have you ever been involved in a treatment program specifically related to your drug use?</p>",,,,
DaOutPatTreat,DaOutPatTreat,Yes | No,,warning,"<p class=""head1""><b>In the PAST 12 MONTHS…</b></p><p class=""head1"">Have you been treated as an outpatient for problems related to drug use?</p>",,,,
90UseHurt,90UseHurt,Never | Once | Twice | 3-4 times | 5 or more times,responses5 horizontal,warning,"<p class=""head1""><b>During the PAST 3 MONTHS…</b></p><p class=""head1"">When using alcohol, marijuana, or other drugs, how often have you gotten into fights or tried to hurt someone?</p>","<p class""head1"">These questions asks about behaviors related to ANY SUBSTANCE use that you have engaged in during  the PAST 3 MONTHS. Please answer <u>all </u>questions, even if they seem similar to ones you answered before. </p>",,,
90PaySteal,90PaySteal,Never | Once | Twice | 3-4 times | 5 or more times,responses5 horizontal,warning,"<p class=""head1""><b>During the PAST 3 MONTHS, in order to get or pay for alcohol, marijuana, or other drugs, how often have you…</b></p><p class=""head1"">Taken or sold things that weren't yours?</p>",,,,
90PayFavor,90PayFavor,Never | Once | Twice | 3-4 times | 5 or more times,responses5 horizontal,warning,"<p class=""head1""><b>During the PAST 3 MONTHS, in order to get or pay for alcohol, marijuana, or other drugs, how often have you…</b></p><p class=""head1"">Done personal favors for people?</p>",,,,
90PaySold,90PaySold,Never | Once | Twice | 3-4 times | 5 or more times,responses5 horizontal,warning,"<p class=""head1""><b>During the PAST 3 MONTHS, in order to get or pay for alcohol, marijuana, or other drugs, how often have you…</b></p><p class=""head1"">Sold personal things, like your clothes or jewelry?</p>",,,,
90PayIllegal,90PayIllegal,Never | Once | Twice | 3-4 times | 5 or more times,responses5 horizontal,warning,"<p class=""head1""><b>During the PAST 3 MONTHS, in order to get or pay for alcohol, marijuana, or other drugs, how often have you…</b></p><p class=""head1"">Done illegal things other than selling drugs?</p>",,,,
90UseAccident,90UseAccident,Never | Once | Twice | 3-4 times | 5 or more times,responses5 horizontal,warning,"<p class=""head1""><b>During the PAST 3 MONTHS, how many times  have you…</b></p><p class=""head1"">Had an accident or been injured due to using alcohol, marijuana, or other drugs?</p>",,,,
90UseFight,90UseFight,Never | Once | Twice | 3-4 times | 5 or more times,responses5 horizontal,warning,"<p class=""head1""><b>During the PAST 3 MONTHS, how many times  have you…</b></p><p class=""head1"">Gotten into fights with a friend due to using alcohol, marijuana, or other drugs?</p>",,,,
90UseSchool,90UseSchool,Never | Once | Twice | 3-4 times | 5 or more times,responses5 horizontal,warning,"<p class=""head1""><b>During the PAST 3 MONTHS, how many times  have you…</b></p><p class=""head1"">Had trouble at work/school due to your alcohol, marijuana, or other drug use?</p>",,,,
90UseTrouble,90UseTrouble,Never | Once | Twice | 3-4 times | 5 or more times,responses5 horizontal,warning,"<p class=""head1""><b>During the PAST 3 MONTHS, how many times  have you…</b></p><p class=""head1"">Had trouble with your teachers or principal due to using alcohol, marijuana, or other drugs?</p>",,,,
90UseCrime,90UseCrime,Never | Once | Twice | 3-4 times | 5 or more times,responses5 horizontal,warning,"<p class=""head1""><b>During the PAST 3 MONTHS, how many times  have you…</b></p><p class=""head1"">Committed a crime when using alcohol, marijuana, or other drugs?</p>",,,,
90UseAbsence,90UseAbsence,Never | Once | Twice | 3-4 times | 5 or more times,responses5 horizontal,warning,"<p class=""head1""><b>During the PAST 3 MONTHS, how many times  have you…</b></p><p class=""head1"">Missed work/school, or gotten to work/school late, due to using alcohol, marijuana, or other drugs?</p>",,,,
FrAlc,FrAlc,None | A few | Some | Most | All,responses5 horizontal,warning,"<p class=""head1""><b>How many of your FRIENDS (the kids you hang around with) do the following:</b></p><p class=""head1"">Drink ALCOHOL?</p>","<p class=""head1"">These  questions asks about your FRIENDS and their use of substances. Please answer all questions, even if they seem similar to ones you answered before.</p>",,,
FrTob,FrTob,None | A few | Some | Most | All,responses5 horizontal,warning,"<p class=""head1""><b>How many of your FRIENDS (the kids you hang around with) do the following:</b></p><p class=""head1"">Smoke cigarettes or use any other type TOBACCO, including smokeless tobacco?</br></p>",,,,
FrMJ,FrMJ,None | A few | Some | Most | All,responses5 horizontal,warning,"<p class=""head1""><b>How many of your FRIENDS (the kids you hang around with) do the following:</b></p><p class=""head1"">Use MARIJUANA?</p>",,,,
FrRx,FrRx,None | A few | Some | Most | All,responses5 horizontal,warning,"<p class=""head1""><b>How many of your FRIENDS (the kids you hang around with) do the following:</b></p><p class=""head1"">Use PRESCRIPTION MEDICINES  <u>without a doctor's prescription </u></p>",,,,
FrMedAmount,FrMedAmount,None | A few | Some | Most | All,responses5 horizontal,warning,"<p class=""head1""><b>How many of your FRIENDS (the kids you hang around with) do the following: </b></p><p class=""head1"">Takes a medicine (PRESCRIPTION or OVER-THE-COUNTER) <u>more often </u>or in <u>larger amounts </u>than you were supposed to?</br></p>",,,,
FrDrug,FrDrug,None | A few | Some | Most | All,responses5 horizontal,warning,"<p class=""head1""><b>How many of your FRIENDS (the kids you hang around with) do the following:</b></p><p class=""head1"">Uses OTHER DRUGS?</p>",,,,
RideDrink,RideDrink,Not at all | Once | Twice | Three or more times,responses4 horizontal,warning,"<p class=""head1""><b>During the PAST 3 MONTHS, how many times did you…</b></p><p class=""head1"">Ride with a driver who had been DRINKING?</p>","<p class=""head1"">These questions ask about riding or driving a car or other motor vehicle in the PAST 3 MONTHS (90 days).</p>",,,
RideDrug,RideDrug,Not at all | Once | Twice | Three or more times,responses4 horizontal,warning,"<p class=""head1""><b>During the PAST 3 MONTHS, how many times did you…</b></p><p class=""head1"">Ride with a driver who had been using MARIJUANA or any OTHER DRUG?</p>",,,Complex,
setRideWords,setRideWords,function,,optional,setRideWords,,,,
RideAdult,RideAdult,Yes | No,,warning,Was the driver who had been %DriverUse  an adult aged 21 or older?,,,Complex,
RidePeer,RidePeer,Yes | No,,warning,Was the driver who had been %DriverUse someone your age?,,,,
RideFamily,RideFamily,Yes | No,,warning,Was the driver who had been %DriverUse someone who lives with you?</p>,,,Complex,
DriveAlc,DriveAlc,numpad,,warning,"<p class=""head1"">On how many of these days did you DRIVE a car after DRINKING? </p>","<p class=""head1"">On the calendar, you indicated that in the PAST 90 days you drank alcohol on %AlcDays90 days.</p>",,Complex,
DriveDrugs,DriveDrugs,numpad,,warning,"<p class=""head1"">On how many of these days did you DRIVE a car after using MARIJUANA or OTHER DRUGS?</p>","<p class = ""head1"">On the calendar, you indicated that in the PAST 90 DAYS you have used marijuana or other drugs on %MJDrugDays90 days.</p>",,,
PHCigOcc,PHCigOcc,No Risk | Slight Risk | Moderate Risk | Great Risk ,responses4 horizontal,warning,"<p class=""head1""><b>How much do you think people risk HARMING THEMSELVES (physically or in other ways) if they do the following?</b></p><p class=""head1"">Smoke cigarettes <u>occasionally </u>?</p>","<p class=""head1"">These questions ask about how risky you thinki it is to engage in certain behaviors involving ALCOHOL, TOBACCO, and OTHER DRUGS.</p>",,,
PHCigReg,PHCigReg,No Risk | Slight Risk | Moderate Risk | Great Risk ,responses4 horizontal,warning,"<p class=""head1""><b>How much do you think people risk HARMING THEMSELVES (physically or in other ways) if they do the following?</b></p><p class=""head1"">Smoke cigarattes <u>regularly </u>?</p>",,,,
PHAlcOcc,PHAlcOcc,No Risk | Slight Risk | Moderate Risk | Great Risk ,responses4 horizontal,warning,"<p class=""head1""><b>How much do you think people risk HARMING THEMSELVES (physically or in other ways) if they do the following?</b></p><p class=""head1"">Try <u>1 or 2 drinks </u>of an alcoholic beverage (beer, wine or liquor)?</p>",,,,
PHAlcReg,PHAlcReg,No Risk | Slight Risk | Moderate Risk | Great Risk ,responses4 horizontal,warning,"<p class=""head1""><b>How much do you think people risk HARMING THEMSELVES (physically or in other ways) if they do the following?</b></p><p <p class=""head1"">Take <u>1 or 2 drinks </u>nearly everyday?</p>",,,,
PHAlcBinge,PHAlcBinge,No Risk | Slight Risk | Moderate Risk | Great Risk ,responses4 horizontal,warning,"<p class=""head1""><b>How much do you think people risk HARMING THEMSELVES (physically or in other ways) if they do the following?</b></p><p class=""head1"">Have <u>5 or more drinks </u>once or twice each weekend?</p>",,,,
PHMJOcc,PHMJOcc,No Risk | Slight Risk | Moderate Risk | Great Risk ,responses4 horizontal,warning,"<p class=""head1""><b>How much do you think people risk HARMING THEMSELVES (physically or in other ways) if they do the following?</b></p><p class=""head1"">Smoke marijuana or use hashish <u>occasionally </u>?</p>",,,,
PHMJReg,PHMJReg,No Risk | Slight Risk | Moderate Risk | Great Risk ,responses4 horizontal,warning,"<p class=""head1""><b>How much do you think people risk HARMING THEMSELVES (physically or in other ways) if they do the following?</b></p><p class=""head1"">Smoke marijuana or use hashish <u>regularly </u>?</p>",,,,
PHSniffReg,PHSniffReg,No Risk | Slight Risk | Moderate Risk | Great Risk ,responses4 horizontal,warning,"<p class=""head1""><b>How much do you think people risk HARMING THEMSELVES (physically or in other ways) if they do the following?</b></p><p class=""head1"">Sniff or inhale things to get high <u>regularly </u>?</p>",,,,
PHRxReg,PHRxReg,No Risk | Slight Risk | Moderate Risk | Great Risk ,responses4 horizontal,warning,"<p class=""head1""><b>How much do you think people risk HARMING THEMSELVES (physically or in other ways) if they do the following?</b></p><p class=""head1"">Take prescription medications  without a doctor's prescription regularly? (e.g., Adderall, Ritalin, OxyContin, Oxycodone, Valium, Percoset, etc.)</p>",,,,
PHRideOnce,PHRideOnce,No Risk | Slight Risk | Moderate Risk | Great Risk ,responses4 horizontal,warning,"<p class=""head1""><b>How much do you think people risk HARMING THEMSELVES (physically or in other ways) if they do the following?</b></p><p class=""head1"">Ride <u>once or twice </u>with a driver who had been using alcohol, marijuana, or other drugs?</p>",,,,
PHRideSeveral,PHRideSeveral,No Risk | Slight Risk | Moderate Risk | Great Risk ,responses4 horizontal,warning,"<p class=""head1""><b>How much do you think people risk HARMING THEMSELVES (physically or in other ways) if they do the following?</b></p><p class=""head1"">Ride <u>several times </u>with a driver who had been using alcohol, marijuana, or other drugs?</p>",,,,
PHDriveOnce,PHDriveOnce,No Risk | Slight Risk | Moderate Risk | Great Risk ,responses4 horizontal,warning,"<p class=""head1""><b>How much do you think people risk HARMING THEMSELVES (physically or in other ways) if they do the following?</b></p><p class=""head1"">Drive <u>once or twice </u>after using alcohol, marijuana, or other drugs?</p>",,,,
PHDriveSeveral,PHDriveSeveral,No Risk | Slight Risk | Moderate Risk | Great Risk ,responses4 horizontal,warning,"<p class=""head1""><b>How much do you think people risk HARMING THEMSELVES (physically or in other ways) if they do the following?</b></p><p class=""head1"">Drive <u>several times </u>after using alcohol, marijuana, or other drugs?</p>",,,,
HaveSib,HaveSib,Yes | No,,warning,"<p class=""head1"">Do you have any brother(s) or sister(s)?</p>","<p class=""head1"">These questions ask about your family. </p>",,No,ParentHigh
SibAlcHigh,SibAlcHigh,Strongly Disagree | Disagree | Agree | Strongly Agree ,responses4 horizontal,warning,"<p class=""head1"">I have a brother or sister who gets drunk or high</p>",,,,
SibMJ,SibMJ,Strongly Disagree | Disagree | Agree | Strongly Agree ,responses4 horizontal,warning,"<p class=""head1""><b>How much do you agree or disagree with the folowing statements:</b></p><p class=""head1"">I have a brother or sister who smokes cigarettes</p>",,,,
SibTob,SibTob,Strongly Disagree | Disagree | Agree | Strongly Agree ,responses4 horizontal,warning,"<p class=""head1""><b>How much do you agree or disagree with the folowing statements:</b></p><p class=""head1"">I have a brother or sister who uses marijuana</p>",,,,
SibAlcDrugSch,SibAlcDrugSch,Strongly Disagree | Disagree | Agree | Strongly Agree ,responses4 horizontal,warning,"<p class=""head1""><b>How much do you agree or disagree with the folowing statements:</b></p><p class=""head1"">I have a brother or sister who uses alcohol or drugs before school or during school</p>",,,,
SibDrugTogether,SibDrugTogether,Strongly Disagree | Disagree | Agree | Strongly Agree ,responses4 horizontal,warning,"<p class=""head1""><b>How much do you agree or disagree with the folowing statements:</b></p><p class=""head1"">I have a brother or sister who uses alcohol or drugs with me?</p>",,,,
ParentHigh,ParentHigh,Strongly Disagree | Disagree | Agree | Strongly Agree ,responses4 horizontal,warning,"<p class=""head1""><b>How much do you agree or disagree with the following statements:</b></p><p class=""head1"">I have a parent who gets drunk or high</p>","<p class=""head1""><u>Note:</u>When we say ""a parent"", we mean a mother, a father, a legal guardian,  and grandparents who live with you. </p>",,,
ParentTob,ParentTob,Strongly Disagree | Disagree | Agree | Strongly Agree ,responses4 horizontal,warning,"<p class=""head1""><b>How much do you agree or disagree with the following statements:</b></p><p class=""head1"">I have a parent who smokes cigarettes</p>",,,,
ParentAlc,ParentAlc,Strongly Disagree | Disagree | Agree | Strongly Agree ,responses4 horizontal,warning,"<p class=""head1""><b>How much do you agree or disagree with the following statements:</b></p><p class=""head1"">I have a parent who uses alcohol or drugs soon after getting up in the morning</p>",,,,
ParentWorry,ParentWorry,Strongly Disagree | Disagree | Agree | Strongly Agree ,responses4 horizontal,warning,"<p class=""head1""><b>How much do you agree or disagree with the following statements:</b></p><p class=""head1"">I have a parent whose use of alcohol or drugs worries me</p>",,,,
ParentNeedTreat,ParentNeedTreat,Strongly Disagree | Disagree | Agree | Strongly Agree ,responses4 horizontal,warning,"<p class=""head1""><b>How much do you agree or disagree with the following statements:</b></p><p class=""head1"">I have a parent who needs treatment for alcohol or drug problems</p>",,,,
PSCFidgety,PSCFidgety,Never | Sometimes | Often,responses3 horizontal,warning,"<p class=""head1"">Fidgety, unable to sit still </p>","<p class=""head1 "">Read each statement and mark the box for the answer that best fits you. </p>",,,
PSCSad,PSCSad,Never | Sometimes | Often,responses3 horizontal,warning,"<p class=""head1"">Feel sad, unhappy </p>","<p class=""head1 "">Read each statement and mark the box for the answer that best fits you. </p>",,,
PSCDaydream,PSCDaydream,Never | Sometimes | Often,responses3 horizontal,warning,"<p class=""head1"">Daydream too much </p>","<p class=""head1 "">Read each statement and mark the box for the answer that best fits you. </p>",,,
PSCRefuse,PSCRefuse,Never | Sometimes | Often,responses3 horizontal,warning,"<p class=""head1"">Refuse to share </p>","<p class=""head1 "">Read each statement and mark the box for the answer that best fits you. </p>",,,
PSCUnderstand,PSCUnderstand,Never | Sometimes | Often,responses3 horizontal,warning,"<p class=""head1"">Do not understand other people's feelings </p>","<p class=""head1 "">Read each statement and mark the box for the answer that best fits you. </p>",,,
PSCHopeless,PSCHopeless,Never | Sometimes | Often,responses3 horizontal,warning,"<p class=""head1"">Feel hopeless </p>","<p class=""head1 "">Read each statement and mark the box for the answer that best fits you. </p>",,,
PSCConcentrating,PSCConcentrating,Never | Sometimes | Often,responses3 horizontal,warning,"<p class=""head1"">Have trouble concentrating </p>","<p class=""head1 "">Read each statement and mark the box for the answer that best fits you. </p>",,,
PSCFight,PSCFight,Never | Sometimes | Often,responses3 horizontal,warning,"<p class=""head1"">Fight with other children </p>","<p class=""head1 "">Read each statement and mark the box for the answer that best fits you. </p>",,,
PSCDown,PSCDown,Never | Sometimes | Often,responses3 horizontal,warning,"<p class=""head1"">Down on yourself </p>","<p class=""head1 "">Read each statement and mark the box for the answer that best fits you. </p>",,,
PSCBlame,PSCBlame,Never | Sometimes | Often,responses3 horizontal,warning,"<p class=""head1"">Blame others for your troubles </p>","<p class=""head1 "">Read each statement and mark the box for the answer that best fits you. </p>",,,
PSCFun,PSCFun,Never | Sometimes | Often,responses3 horizontal,warning,"<p class=""head1"">Seem to be having less fun </p>","<p class=""head1 "">Read each statement and mark the box for the answer that best fits you. </p>",,,
PSCListen,PSCListen,Never | Sometimes | Often,responses3 horizontal,warning,"<p class=""head1"">Do not listen to rules </p>","<p class=""head1 "">Read each statement and mark the box for the answer that best fits you. </p>",,,
PSCMotor,PSCMotor,Never | Sometimes | Often,responses3 horizontal,warning,"<p class=""head1"">Act as if drven by a motor </p>","<p class=""head1 "">Read each statement and mark the box for the answer that best fits you. </p>",,,
PSCTease,PSCTease,Never | Sometimes | Often,responses3 horizontal,warning,"<p class=""head1"">Tease others </p>","<p class=""head1 "">Read each statement and mark the box for the answer that best fits you. </p>",,,
PSCWorry,PSCWorry,Never | Sometimes | Often,responses3 horizontal,warning,"<p class=""head1"">Worry a lot </p>","<p class=""head1 "">Read each statement and mark the box for the answer that best fits you. </p>",,,
PSCThings,PSCThings,Never | Sometimes | Often,responses3 horizontal,warning,"<p class=""head1"">Take things that do not belong to you </p>","<p class=""head1 "">Read each statement and mark the box for the answer that best fits you. </p>",,,
PSCDistract ,PSCDistract ,Never | Sometimes | Often,responses3 horizontal,warning,"<p class=""head1"">Distract easily </p>","<p class=""head1 "">Read each statement and mark the box for the answer that best fits you. </p>",,,
Forgiveness1,Forgiveness1,Always or almost always | Often | Seldom | Never,responses4 horizontal,warning,"<p class=""head1"">It is easy for me to admit that I am wrong.</p>","<p class=""head1"">The questions in this section are about your spiritual or religious beliefs and practices.  Please check ONE BOX for each question.</p>",,,
Forgiveness2,Forgiveness2,Always or almost always | Often | Seldom | Never| Not Applicable,responses5 horizontal,warning,"<p class=""head1"">If I hear a sermon, I usually think about the things I have done wrong.</p>",,,,
Forgiveness3,Forgiveness3,Always or almost always | Often | Seldom | Never| Not Applicable,responses5 horizontal,warning,"<p class=""head1"">I believe that God has forgiven me for the things I have done wrong.</p>",,,,
Forgiveness4,Forgiveness4,Always or almost always | Often | Seldom | Never| Not Applicable,responses5 horizontal,warning,"<p class=""head1"">I believe that there are times when God has punished me.</p>",,,,
Forgiveness5,Forgiveness5,Always or almost always | Often | Seldom | Never,responses4 horizontal,warning,"<p class=""head1"">I believe that when people say they forgive me for something I did, they really mean it.</p>",,,,
Forgiveness6,Forgiveness6,Always or almost always | Often | Seldom | Never,responses4 horizontal,warning,"<p class=""head1"">I often feel that no matter what I do now, I will never make up for the mistakes I have made in the past.</p>",,,,
Forgiveness7,Forgiveness7,Always or almost always | Often | Seldom | Never,responses4 horizontal,warning,"<p class=""head1"">I am able to make up pretty easily when friends who have hurt me in some way.</p>",,,,
Forgiveness8,Forgiveness8,Always or almost always | Often | Seldom | Never,responses4 horizontal,warning,"<p class=""head1"">I have grudges which I have held onto for months or years.</p>",,,,
Forgiveness9,Forgiveness9,Always or almost always | Often | Seldom | Never,responses4 horizontal,warning,"<p class=""head1"">I find it hard to forgive myself for some things that I have done.</p>",,,,
Forgiveness10,Forgiveness10,Always or almost always | Often | Seldom | Never,responses4 horizontal,warning,"<p class=""head1"">I often feel like I have failed to live the right kind of life.</p>",,,,
Forgiveness11,Forgiveness11,Always or almost always | Often | Seldom | Never,responses4 horizontal,warning,"<p class=""head1"">I have forgiven myself for things that I have done wrong.</p>","<p class=""head1""><b>Because of my religious or spiritual beliefs…</b></p>",,,
Forgiveness12,Forgiveness12,Always or almost always | Often | Seldom | Never,responses4 horizontal,warning,"<p class=""head1"">I have forgiven those who hurt me.</p>","<p class=""head1""><b>Because of my religious or spiritual beliefs…</b></p>",,,
Forgiveness13,Forgiveness13,Always or almost always | Often | Seldom | Never,responses4 horizontal,warning,"<p class=""head1"">I know that God forgives me.</p>","<p class=""head1""><b>Because of my religious or spiritual beliefs…</b></p>",,,
Forgiveness14,Forgiveness14,Not at all like me | A little like me | Somewhat like me | A lot like me | Exactly like me,responses5 horizontal,warning,"<p class=""head1"">I would forgive them if they showed they are sorry.</p>","<p class=""head1""><b>If a friend lied to you about something important.</b></p>",,,
Forgiveness15,Forgiveness15,Not at all like me | A little like me | Somewhat like me | A lot like me | Exactly like me,responses5 horizontal,warning,"<p class=""head1"">It would be easy for me to forgive him/her.</p>","<p class=""head1""><b>If a friend lied to you about something important.</b></p>",,,
Forgiveness16,Forgiveness16,Not at all like me | A little like me | Somewhat like me | A lot like me | Exactly like me,responses5 horizontal,warning,"<p class=""head1"">It would be hard for me to let go of my anger.</p>","<p class=""head1""><b>If a friend lied to you about something important.</b></p>",,,
